model,price,Kilometer,Årgang,Hestekræfter,Km/l,Tophastighed,Brændstoftype,Max. påhæng,Vægt,Gearkasse,Antal døre
Citroën C5 16V Advance,9900,212000,2001,138,12,208,Benzin,1.500,1.350,Manue,5
"Citroën C4 Picasso 1,6 THP 150 VTR Pack E6G",29900,192000,2010,150,14,204,Benzin,1.400,1.481,Automatis,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",69900,202000,2014,100,32,184,Diese,870,1.070,Manue,5
"Citroën C4 1,6 BlueHDi 100 Feel+",94700,92000,2017,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Shine",84900,171000,2015,100,29,184,Diese,870,1.070,Manue,5
"Citroën C4 Cactus 1,2 PT 82 Fee",89800,119000,2016,82,22,167,Benzin,720,965,Manue,5
"Citroën C4 2,0 HDi",5990,350000,2007,138,18,207,Diese,1.500,1.350,,5
"Citroën Grand C4 Picasso 2,0 Blue HDi Intensive+ EAT6 start/stop 150HK 6g Au",260000,38000,2018,150,23,,Diese,,,,
"Citroën C3 1,4 HDi Furio",19900,231000,2009,70,23,165,Diese,900,1.050,Manue,5
"Citroën C4 Picasso 1,6 e-HDi 112 Exclusive E6G",59900,200000,2012,112,22,182,Diese,1.240,1.581,Automatis,5
"Citroën C4 2,0 HDi 150 Seduction",59900,118000,2011,150,20,207,Diese,1.500,1.295,Manue,5
"Citroën Grand C4 Picasso 1,2 PureTech 130 Iconic",204900,64000,2018,130,20,201,Benzin,1.350,1.575,Manue,5
"Citroën Grand C4 Picasso 1,6 e-HDi 112 Exclusive E6G",74900,169000,2012,112,20,182,Diese,1.050,1.635,Automatis,5
"Citroën C4 Cactus 1,2 PT 82 Fee",109800,70000,2016,82,22,167,Benzin,720,965,Manue,5
"Citroën Grand C4 Picasso 2,0 BlueHDi 150 Exclusive EAT6",119900,309000,2015,150,22,207,Diese,1.600,1.710,Automatis,5
"Citroën C5 1,6 HDi 115 Seduction Toure",89900,161000,2014,115,22,190,Diese,1.300,1.742,Manue,5
Citroën Xantia 16V Family,13800,267000,2000,112,12,180,Benzin,1.200,1.275,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Shine",94900,127000,2015,100,29,184,Diese,870,1.070,Manue,5
Citroën C1 Seduction,35800,100000,2011,68,22,157,Benzin,,775,Manue,5
Citroën C1 Seduction Cli,37800,136000,2013,68,23,157,Benzin,,805,Manue,5
Citroën C1,15000,250000,2009,68,22,157,Benzin,,800,Manue,5
"Citroën C1 1,2 PT 82 Feel+",59900,54000,2017,82,23,170,Benzin,,865,Manue,5
"Citroën C3 Picasso 1,6 HDi 110 Seduction",54800,167000,2010,110,20,183,Diese,950,1.308,Manue,5
"Citroën DS3 1,6 BlueHDi 100 Style",79900,107000,2015,100,33,189,Diese,,1.240,Manue,3
"Citroën C4 1,6 e-HDi 115 Seduction E6G",68900,165000,2013,115,26,190,Diese,400,1.440,Automatis,5
"Citroën C3 1,4",17500,151000,2004,,,,Benzin,,,Manue,
"Citroën C3 1,2 PureTech Shine Sport 83HK 5d",149900,5600,2020,83,26,,Benzin,,,,
"Citroën C4 Cactus 1,6 BlueHDi 100 Iconic",139900,37000,2018,100,28,184,Diese,950,1.218,Manue,5
"Citroën Grand C4 Picasso 2,0 16V Exclusive au",59900,149000,2008,143,11,190,Benzin,1.400,1.667,Automatis,5
"Citroën DS4 1,6 HDi 112 Style",74900,228000,2012,112,21,190,Diese,1.300,1.428,Manue,5
"Citroën C3 1,4 HDi Elegance",14900,188000,2008,70,23,165,Diese,900,1.050,Manue,5
"Citroën DS3 1,2 VTi 82 Style Cabrio",88800,88000,2013,82,20,172,Benzin,,1.165,Manue,2
"Citroën C3 1,6 BlueHDi 100 Cool Comfo",89800,89000,2016,100,33,189,Diese,1.150,1.280,Manue,5
"Citroën C1 1,0 VTi 72 SportLine",84800,12000,2019,72,29,160,Benzin,,949,Manue,5
"Citroën C3 1,4 HDi Seduction",23000,250000,2012,70,28,165,Diese,700,1.220,Manue,5
"Citroën C4 Picasso 1,8 16V Prestige",29400,216000,2007,127,12,185,Benzin,1.200,1.445,Manue,5
"Citroën C4 Cactus 1,2 PT 82 Fee",99900,79000,2016,82,22,167,Benzin,720,965,Manue,5
"Citroën C4 1,6 HDi 92 Seduction",85000,56000,2014,92,24,180,Diese,350,1.280,Manue,5
"Citroën C4 Picasso 2,0 HDi 138 VTR+ E6G",39900,192000,2008,138,16,195,Diese,1.500,1.595,Automatis,5
"Citroën C1 1,2 PT 82 Shine",44900,139000,2014,82,23,170,Benzin,,865,Manue,5
"Citroën C4 1,6 BlueHDi 100 Feel+",125900,58000,2017,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën DS4 1,6 e-HDi 112 Style",54900,257000,2011,112,22,190,Diese,1.300,1.450,Manue,5
