model,price,Kilometer,Årgang,Hestekræfter,Km/l,Tophastighed,Brændstoftype,Max. påhæng,Vægt,Gearkasse,Antal døre
"Mercedes GLC200 d 2,2 4MATIC",48000,68783,2017,170,,,Diese,,,Automatis,
"Mercedes A200 d 1,3 AMG Line",59500,19900,2019,162,,,Benzin,,,Automatis,
"Mercedes E250 2,2 CDi Avantgarde stc. au",248000,186000,2013,204,18,232,Diese,2.100,1.785,Automatis,5
Mercedes S500 limousine,137000,144000,1998,,,,Benzin,,,Automatis,
"Mercedes E220 d 2,0 Business Edition",55000,96395,2017,194,,,Diese,,,Automatis,
"Mercedes E300 de T 2,0 D/EL AMG Line 9G-Tronic 316HK Stc",529900,28000,2019,,,,other,,,,
"Mercedes E200 2,2 CDi aut. BE",99800,459000,2012,136,20,207,Diese,1.900,1.635,,4
"Mercedes A150 1,5 Aut. 5d",64900,82000,2005,94,,,Benzin,,,Automatis,
"Mercedes 280 SE 2,8 au",,175000,1979,185,8,195,Benzin,1.500,1.475,Automatis,4
"Mercedes E220 d 2,0 AMG Line stc. au",500000,71000,2017,194,22,235,Diese,2.100,1.680,Automatis,5
"Mercedes 230 CE 2,3 au",99800,234000,1982,136,10,190,Benzin,1.420,1.380,Automatis,2
"Mercedes Vito 116 2,2 CDi Kombi aut. L BE",215000,387000,2012,163,12,,Diese,,,Automatis,4
"Mercedes CLA220 d 2,2 AMG Line au",399700,66000,2017,177,24,232,Diese,1.500,1.525,Automatis,4
Mercedes S500,899900,81000,2015,455,10,250,Benzin,,1.890,Automatis,2
"Mercedes C220 d 2,2 AMG Line au",329900,75000,2018,170,22,233,Diese,1.800,1.470,Automatis,4
"Mercedes C200 1,5 AMG Line stc. au",424900,11000,2019,184,18,235,Benzin,1.800,1.465,Automatis,5
"Mercedes E200 2,0 Avantgarde au",479900,52000,2018,184,17,240,Benzin,1.900,1.605,Automatis,4
"Mercedes E63 5,5 AMG Performance au",595000,93000,2012,557,10,,Benzin,,,Automatis,4
"Mercedes B200 d 2,0 Progressive au",349900,41000,2019,150,25,219,Diese,1.600,1.435,Automatis,5
"Mercedes C350 e 2,0 Avantgarde stc. au",335000,76000,2016,279,27,246,Benzin,1.600,1.765,Automatis,5
"Mercedes C220 d 2,2 AMG Line stc. au",369800,123000,2017,170,21,231,Diese,1.800,1.615,Automatis,5
"Mercedes C320 3,0 CDi aut. 4Matic",110000,295000,2008,224,12,250,Diese,1.800,1.660,Automatis,4
"Mercedes A200 d 2,2 Urban au",169700,76000,2017,136,25,210,Diese,1.500,1.385,Automatis,5
"Mercedes C220 d 2,2 Coupé au",339995,134000,2017,170,23,235,Diese,1.800,1.615,Automatis,2
"Mercedes CLS500 4,7 Shooting Brake aut. BE",419995,172000,2012,408,11,250,Benzin,2.100,1.955,Automatis,5
"Mercedes C250 2,2 CDi Coupé BE",219900,202000,2012,204,19,240,Diese,1.800,1.655,Manue,2
"Mercedes E350 3,0 CDi Avantgarde aut. BE",180000,338000,2009,231,,250,Diese,2.100,1.725,,4
Mercedes Sprinter 316 CDI A2 RWD 7G-Tronic 163HK Ladv./Chas. 7g Au,380105,37600,2018,163,,,Diese,,,,
"Mercedes GLC43 3,0 AMG aut. 4Matic",839900,56000,2018,367,12,250,Benzin,2.460,1.845,Automatis,5
"Mercedes AMG GT C 4,0 Roadster au",2099800,37000,2017,557,9,316,Benzin,,1.735,Automatis,2
"Mercedes C220 d 2,2 Business stc. au",89900,145000,2016,170,23,229,Diese,1.800,1.515,Automatis,5
"Mercedes G350 3,0 BlueTEC au",399999,90000,2014,211,9,175,Diese,3.500,2.470,Automatis,5
"Mercedes CLS250 2,2 CDi aut. BE",279700,224000,2013,204,19,242,Diese,,1.800,Automatis,4
"Mercedes E500 4,7 stc. aut. 4Matic",,139000,2014,408,10,250,Benzin,2.100,1.975,Automatis,5
"Mercedes GLE350 d 3,0 AMG Line aut. 4Matic",859900,42000,2017,258,15,225,Diese,3.500,2.175,Automatis,5
"Mercedes C220 d 2,2 AMG Line stc. au",389800,91000,2018,170,21,231,Diese,1.800,1.615,Automatis,5
Mercedes E300 de,569990,17000,2020,306,34,250,Diese,2.100,2.060,Automatis,4
"Mercedes E300 2,2 BlueTEC Hybrid Avantgarde stc. au",239900,231000,2013,204,22,232,Diese,300,1.855,Automatis,5
"Mercedes C220 d 2,2 Coupé",299800,179000,2017,170,24,234,Diese,1.800,1.605,Manue,2
"Mercedes GLC350 d 3,0 AMG Line aut. 4Matic",659900,97000,2018,258,17,238,Diese,2.500,1.890,Automatis,5
"Mercedes CLA220 d 2,2 AMG Line Shooting Brake au",309800,105000,2016,177,24,228,Diese,1.500,1.555,Automatis,5
"Mercedes C220 d 2,2 Business stc. au",224900,177000,2016,170,23,229,Diese,1.800,1.515,Automatis,5
"Mercedes CLA250 e 1,3 AMG Line Shooting Brake au",478900,8000,2020,218,36,235,Benzin,1.600,1.750,Automatis,5
"Mercedes C220 2,2 BlueTEC Avantgarde au",249800,241000,2015,170,23,233,Diese,1.800,1.570,Automatis,4
"Mercedes C220 d 2,0 T  CDI 9G-Tronic  Stc 9g Au",449900,26000,2020,194,23,233,Diese,,2.205,Automatis,5
"Mercedes C220 d 2,2 AMG Line stc. aut. 4Matic",419900,86000,2018,170,20,225,Diese,1.800,1.695,Automatis,5
"Mercedes A180 2,0 CDi Elegance",19900,291000,2004,109,19,186,Diese,1.500,1.250,Manue,5
"Mercedes GLC350 d 3,0 AMG Line aut. 4Matic",649800,104000,2018,258,16,238,Diese,2.500,1.890,Automatis,5
"Mercedes C220 d 2,0 Avantgarde au",364900,60000,2018,194,24,240,Diese,1.800,1.485,Automatis,4
"Mercedes C200 2,0 AMG Line Cabriolet aut. 4Matic",519900,103000,2017,184,14,233,Benzin,1.800,1.725,Automatis,2
"Mercedes CLA200 d 2,2 au",279900,141000,2017,136,25,220,Diese,1.500,1.525,Automatis,4
"Mercedes C220 d 2,2 AMG Line stc. au",265000,145000,2015,170,22,229,Diese,1.800,1.515,Automatis,5
Mercedes V300 d,889900,12000,2019,,,220,Diese,,2.389,,
Mercedes GLC300 de,699800,13000,2020,,30,230,other,,,,
Mercedes GLA250 e,489800,6000,2020,,33,220,other,,,,
"Mercedes C200 2,0 7G-Tronic Plus 184HK 7g Au",284800,87000,2015,184,19,,Benzin,,,Automatis,
"Mercedes E220 d 2,0 Avantgarde au",379500,191000,2016,163,25,232,Diese,2.100,1.805,Automatis,4
"Mercedes C220 d 2,0 Avantgarde stc. au",384900,68000,2019,194,23,233,Diese,1.800,1.545,Automatis,5
"Mercedes A200 1,3 Progressive Line au",340000,23000,2020,163,20,225,Benzin,1.600,1.375,Automatis,5
"Mercedes E250 2,0 au",489900,19000,2017,211,17,250,Benzin,2.000,1.515,Automatis,4
"Mercedes E420 4,0 CDi Avantgarde au",159900,113000,2008,314,11,250,Diese,1.900,1.800,Automatis,4
"Mercedes E250 2,0 T 9G-TRONIC",134000,27690,2018,211,,,Benzin,,,Automatis,
"Mercedes CLA220 d 2,2 au",294500,82000,2016,177,24,232,Diese,1.500,1.525,Automatis,4
"Mercedes E220 d 2,0 Avantgarde au",399900,121000,2017,194,26,240,Diese,2.100,1.680,Automatis,4
"Mercedes E220 d 2,0 Avantgarde au",399900,116000,2017,194,26,240,Diese,2.100,1.680,Automatis,4
"Mercedes V220 d 2,0 Marco Polo au",724347,0,2021,163,13,,Diese,,,Automatis,
"Mercedes V250 d 2,0 Marco Polo au",728725,0,2021,190,12,205,Diese,2.500,,Automatis,
"Mercedes V250 d 2,0 Marco Polo au",685953,0,2021,190,12,205,Diese,2.500,,Automatis,
"Mercedes ML350 3,0 BlueTEC AMG Line aut. 4Matic",499800,149000,2014,258,14,224,Diese,3.500,2.075,Automatis,5
"Mercedes E280 3,0 CDi Avantgarde stc. au",79900,428000,2008,190,14,230,Diese,2.100,1.775,Automatis,5
"Mercedes E220 d 2,0 Avantgarde stc. au",329800,184000,2017,194,24,235,Diese,2.100,1.680,Automatis,5
"Mercedes A200 1,3 Progressive Advantage au",334900,12000,2019,163,21,225,Benzin,1.600,1.375,Automatis,5
"Mercedes V220 d 2,0 Marco Polo au",724347,0,2021,163,18,,Diese,,,Automatis,
"Mercedes V220 d 2,0 Marco Polo au",736576,0,2021,163,18,,Diese,,,Automatis,
"Mercedes V220 d 2,0 Marco Polo au",724347,0,2021,163,18,,Diese,,,Automatis,
"Mercedes E220 d 2,0 Avantgarde au",369900,172000,2017,194,23,240,Diese,2.100,1.680,Automatis,4
"Mercedes C350 e 2,0 stc. au",334800,132000,2015,279,30,246,Benzin,1.600,1.765,Automatis,5
Mercedes C220 d,374900,48000,2019,194,24,240,Diese,1.800,1.485,Automatis,4
